City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Port lincoln,AU,-34.7333,135.8667,53.62,69,88,24.16,overcast clouds
322,Middleton,GB,53.55,-2.2,52.92,93,100,1.9,overcast clouds
323,Saint george,US,37.1041,-113.5841,66.67,49,1,4.0,clear sky
324,Charters towers,AU,-20.1,146.2667,76.05,80,97,12.53,overcast clouds
325,Miles city,US,46.4083,-105.8406,47.37,31,1,21.85,clear sky
326,Christchurch,NZ,-43.5333,172.6333,56.91,85,90,1.99,overcast clouds
327,Bandarbeyla,SO,9.4942,50.8122,79.0,74,20,16.87,few clouds
328,Rio gallegos,AR,-51.6226,-69.2181,60.85,29,75,27.63,broken clouds
329,Itaueira,BR,-7.6033,-43.0256,90.18,41,66,3.31,broken clouds
330,Bull savanna,JM,17.8868,-77.5902,80.6,70,71,5.41,light rain
331,Puerto baquerizo moreno,EC,-0.9,-89.6,72.59,78,75,14.97,broken clouds
332,Luderitz,NA,-26.6481,15.1594,71.46,52,0,21.83,clear sky
333,Aripuana,BR,-9.1667,-60.6333,77.02,96,99,0.72,moderate rain
334,Lucea,JM,18.451,-78.1736,84.85,76,85,10.76,light rain
335,Vilyuysk,RU,63.7553,121.6247,-10.61,100,54,3.56,broken clouds
336,Abu kamal,SY,34.4506,40.9171,66.97,15,88,10.83,overcast clouds
337,Vanavara,RU,60.34,102.2797,29.55,93,100,12.17,snow
338,Kuytun,RU,54.3419,101.5036,18.82,94,65,5.03,broken clouds
339,Shubarkuduk,KZ,49.1447,56.4872,35.78,98,100,10.18,moderate rain
340,Faanui,PF,-16.4833,-151.75,79.81,73,27,14.09,scattered clouds
341,Oudtshoorn,ZA,-33.5907,22.2014,59.36,55,37,9.75,scattered clouds
342,Kaeo,NZ,-35.1,173.7833,54.32,95,30,1.66,scattered clouds
343,Srivardhan,IN,18.0333,73.0167,75.0,61,87,5.12,overcast clouds
344,Wenling,CN,28.3669,121.36,48.9,65,0,5.68,clear sky
345,San andres,CO,12.5847,-81.7006,81.66,73,64,9.53,broken clouds
346,Deputatskiy,RU,69.3,139.9,3.18,96,100,2.3,overcast clouds
347,Araouane,ML,18.9048,-3.5265,80.8,8,54,8.9,broken clouds
348,Tezu,IN,27.9167,96.1667,64.85,44,0,4.88,clear sky
349,Hofn,IS,64.2539,-15.2082,39.22,60,75,14.97,broken clouds
350,Rocha,UY,-34.4833,-54.3333,70.77,48,1,13.33,clear sky
351,Balaipungut,ID,1.05,101.2833,73.78,98,100,2.66,light rain
352,Turaiyur,IN,11.1667,78.6167,74.46,89,100,5.26,overcast clouds
353,Olinda,BR,-8.0089,-34.8553,83.93,65,40,11.5,scattered clouds
354,Presidencia roque saenz pena,AR,-26.7852,-60.4388,85.95,29,100,12.66,overcast clouds
355,Hede,CN,33.7681,120.2517,42.67,74,0,7.74,clear sky
356,Guiratinga,BR,-16.3494,-53.7583,88.47,49,88,10.63,overcast clouds
357,Olga,RU,43.7444,135.2892,30.22,87,100,16.28,snow
358,Kos,GR,36.8933,27.2889,67.44,43,74,13.85,broken clouds
359,Kamenka,RU,51.3223,42.7678,26.6,61,1,6.02,clear sky
360,Berdigestyakh,RU,62.0989,126.6992,-3.05,100,78,3.85,broken clouds
361,Kandry,RU,54.5667,54.1167,24.46,69,8,10.33,clear sky
362,Puerto escondido,MX,15.85,-97.0667,86.83,62,1,6.91,clear sky
363,Hirara,JP,24.8,125.2833,67.84,56,18,15.08,few clouds
364,Palmer,US,42.1584,-72.3287,61.97,55,75,1.01,broken clouds
365,Okakarara,NA,-20.5833,17.4333,80.35,34,99,7.56,light rain
366,Athabasca,CA,54.7169,-113.2854,28.22,83,100,2.46,overcast clouds
367,Awjilah,LY,29.1081,21.2869,76.14,33,100,11.16,overcast clouds
368,Myrtle beach,US,33.6891,-78.8867,74.32,63,1,3.44,clear sky
