City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,mareeba,AU,2021-11-08 18:33:38,-17.0,145.4333,75.92,94,28,2.15
187,dombarovskiy,RU,2021-11-08 18:33:38,50.7587,59.5386,35.47,46,100,9.42
188,ludvika,SE,2021-11-08 18:33:38,60.1496,15.1878,26.04,91,18,3.04
189,matamoros,MX,2021-11-08 18:33:39,25.5333,-103.25,76.1,24,11,2.86
190,wainwright,CA,2021-11-08 18:33:39,52.839,-110.8572,40.91,30,100,11.54
191,bay city,US,2021-11-08 18:31:03,43.5945,-83.8889,66.11,57,1,13.8
192,saint-philippe,RE,2021-11-08 18:33:39,-21.3585,55.7679,74.79,85,43,9.13
193,husavik,IS,2021-11-08 18:33:39,66.0449,-17.3389,39.11,81,82,15.28
194,maputo,MZ,2021-11-08 18:33:40,-25.9653,32.5892,76.68,89,75,1.01
195,waipawa,NZ,2021-11-08 18:33:40,-41.4122,175.5153,59.04,74,0,3.18
196,ndele,CF,2021-11-08 18:33:40,8.4109,20.6473,79.07,57,100,1.74
197,san quintin,MX,2021-11-08 18:33:41,30.4833,-115.95,67.24,65,0,6.31
198,mizan teferi,ET,2021-11-08 18:33:41,6.9833,35.5833,62.06,92,39,2.66
199,ixtapa,MX,2021-11-08 18:33:41,20.7,-105.2,85.23,76,4,3.0
200,clyde river,CA,2021-11-08 18:33:41,70.4692,-68.5914,17.83,100,75,18.41
201,boali,CF,2021-11-08 18:33:42,4.8005,18.1275,75.4,81,10,2.64
202,college,US,2021-11-08 18:33:37,64.8569,-147.8028,15.75,82,75,4.61
203,bud,US,2021-11-08 18:33:42,39.447,-86.1758,69.82,40,1,12.08
204,comodoro rivadavia,AR,2021-11-08 18:30:01,-45.8667,-67.5,58.86,44,0,13.8
205,port blair,IN,2021-11-08 18:33:42,11.6667,92.75,82.26,84,100,10.8
206,galesong,ID,2021-11-08 18:33:42,-5.3166,119.3661,77.02,81,93,4.36
207,baie-comeau,CA,2021-11-08 18:32:24,49.2168,-68.1489,50.0,71,90,5.75
208,longyearbyen,SJ,2021-11-08 18:33:43,78.2186,15.6401,15.64,62,40,8.05
209,carnarvon,AU,2021-11-08 18:33:43,-24.8667,113.6333,66.27,68,40,17.27
